Running on cuda:0
[2018-09-22 16:38] Train Step 0000/10000, Batch Size = 128, Examples/Sec = 3609.43, Accuracy = 0.12, Loss = 7.616
[2018-09-22 16:38] Train Step 0190/10000, Batch Size = 128, Examples/Sec = 5105.42, Accuracy = 0.48, Loss = 1.471
[2018-09-22 16:38] Train Step 0200/10000, Batch Size = 128, Examples/Sec = 5183.55, Accuracy = 0.47, Loss = 1.473
[2018-09-22 16:38] Train Step 0210/10000, Batch Size = 128, Examples/Sec = 5098.49, Accuracy = 0.52, Loss = 1.431
[2018-09-22 16:38] Train Step 0220/10000, Batch Size = 128, Examples/Sec = 5179.70, Accuracy = 0.47, Loss = 1.324
[2018-09-22 16:38] Train Step 0230/10000, Batch Size = 128, Examples/Sec = 4945.66, Accuracy = 0.48, Loss = 1.393
[2018-09-22 16:38] Train Step 0240/10000, Batch Size = 128, Examples/Sec = 5129.67, Accuracy = 0.54, Loss = 1.345
[2018-09-22 16:38] Train Step 0250/10000, Batch Size = 128, Examples/Sec = 5230.62, Accuracy = 0.48, Loss = 1.557
[2018-09-22 16:38] Train Step 0260/10000, Batch Size = 128, Examples/Sec = 5089.50, Accuracy = 0.56, Loss = 1.234
[2018-09-22 16:38] Train Step 0270/10000, Batch Size = 128, Examples/Sec = 5114.13, Accuracy = 0.50, Loss = 1.257
[2018-09-22 16:38] Train Step 0280/10000, Batch Size = 128, Examples/Sec = 5274.82, Accuracy = 0.48, Loss = 1.459
[2018-09-22 16:38] Train Step 0290/10000, Batch Size = 128, Examples/Sec = 4761.06, Accuracy = 0.57, Loss = 1.191
[2018-09-22 16:38] Train Step 0300/10000, Batch Size = 128, Examples/Sec = 5122.03, Accuracy = 0.55, Loss = 1.164
[2018-09-22 16:38] Train Step 0310/10000, Batch Size = 128, Examples/Sec = 5460.89, Accuracy = 0.49, Loss = 1.288
[2018-09-22 16:38] Train Step 0320/10000, Batch Size = 128, Examples/Sec = 5203.04, Accuracy = 0.48, Loss = 1.254
[2018-09-22 16:38] Train Step 0330/10000, Batch Size = 128, Examples/Sec = 4985.85, Accuracy = 0.63, Loss = 1.082
[2018-09-22 16:38] Train Step 0340/10000, Batch Size = 128, Examples/Sec = 5159.64, Accuracy = 0.60, Loss = 1.162
[2018-09-22 16:38] Train Step 0350/10000, Batch Size = 128, Examples/Sec = 5136.29, Accuracy = 0.52, Loss = 1.232
[2018-09-22 16:38] Train Step 0360/10000, Batch Size = 128, Examples/Sec = 5032.72, Accuracy = 0.62, Loss = 1.116
[2018-09-22 16:38] Train Step 0370/10000, Batch Size = 128, Examples/Sec = 5140.32, Accuracy = 0.59, Loss = 1.031
[2018-09-22 16:38] Train Step 0380/10000, Batch Size = 128, Examples/Sec = 5288.69, Accuracy = 0.60, Loss = 1.032
[2018-09-22 16:38] Train Step 0390/10000, Batch Size = 128, Examples/Sec = 4960.83, Accuracy = 0.62, Loss = 1.000
[2018-09-22 16:38] Train Step 0400/10000, Batch Size = 128, Examples/Sec = 5182.90, Accuracy = 0.73, Loss = 0.730
[2018-09-22 16:38] Train Step 0410/10000, Batch Size = 128, Examples/Sec = 5400.95, Accuracy = 0.66, Loss = 0.909
[2018-09-22 16:38] Train Step 0420/10000, Batch Size = 128, Examples/Sec = 5308.30, Accuracy = 0.64, Loss = 0.931
[2018-09-22 16:38] Train Step 0430/10000, Batch Size = 128, Examples/Sec = 5086.22, Accuracy = 0.58, Loss = 0.993
[2018-09-22 16:38] Train Step 0440/10000, Batch Size = 128, Examples/Sec = 5126.97, Accuracy = 0.63, Loss = 0.902
[2018-09-22 16:38] Train Step 0450/10000, Batch Size = 128, Examples/Sec = 5458.17, Accuracy = 0.62, Loss = 1.070
[2018-09-22 16:38] Train Step 0460/10000, Batch Size = 128, Examples/Sec = 5128.00, Accuracy = 0.67, Loss = 0.884
[2018-09-22 16:38] Train Step 0470/10000, Batch Size = 128, Examples/Sec = 5076.17, Accuracy = 0.67, Loss = 0.750
[2018-09-22 16:38] Train Step 0480/10000, Batch Size = 128, Examples/Sec = 5121.64, Accuracy = 0.64, Loss = 0.837
[2018-09-22 16:39] Train Step 0490/10000, Batch Size = 128, Examples/Sec = 5259.42, Accuracy = 0.65, Loss = 0.826
[2018-09-22 16:39] Train Step 0500/10000, Batch Size = 128, Examples/Sec = 5060.48, Accuracy = 0.71, Loss = 0.845
[2018-09-22 16:39] Train Step 0510/10000, Batch Size = 128, Examples/Sec = 5118.86, Accuracy = 0.73, Loss = 0.722
[2018-09-22 16:39] Train Step 0520/10000, Batch Size = 128, Examples/Sec = 5385.62, Accuracy = 0.72, Loss = 0.659
[2018-09-22 16:39] Train Step 0530/10000, Batch Size = 128, Examples/Sec = 5063.00, Accuracy = 0.64, Loss = 0.840
[2018-09-22 16:39] Train Step 0540/10000, Batch Size = 128, Examples/Sec = 5084.05, Accuracy = 0.67, Loss = 0.783
[2018-09-22 16:39] Train Step 0550/10000, Batch Size = 128, Examples/Sec = 4474.33, Accuracy = 0.73, Loss = 0.741
[2018-09-22 16:39] Train Step 0560/10000, Batch Size = 128, Examples/Sec = 4532.85, Accuracy = 0.64, Loss = 0.747
[2018-09-22 16:39] Train Step 0570/10000, Batch Size = 128, Examples/Sec = 4506.48, Accuracy = 0.65, Loss = 0.807
[2018-09-22 16:39] Train Step 0580/10000, Batch Size = 128, Examples/Sec = 4567.91, Accuracy = 0.69, Loss = 0.774
[2018-09-22 16:39] Train Step 0590/10000, Batch Size = 128, Examples/Sec = 4484.05, Accuracy = 0.71, Loss = 0.776
[2018-09-22 16:39] Train Step 0600/10000, Batch Size = 128, Examples/Sec = 4399.79, Accuracy = 0.76, Loss = 0.614
[2018-09-22 16:39] Train Step 0610/10000, Batch Size = 128, Examples/Sec = 4555.39, Accuracy = 0.70, Loss = 0.722
[2018-09-22 16:39] Train Step 0620/10000, Batch Size = 128, Examples/Sec = 4533.58, Accuracy = 0.71, Loss = 0.712
[2018-09-22 16:39] Train Step 0630/10000, Batch Size = 128, Examples/Sec = 4530.48, Accuracy = 0.65, Loss = 0.834
[2018-09-22 16:39] Train Step 0640/10000, Batch Size = 128, Examples/Sec = 4592.53, Accuracy = 0.68, Loss = 0.725
[2018-09-22 16:39] Train Step 0650/10000, Batch Size = 128, Examples/Sec = 4475.71, Accuracy = 0.75, Loss = 0.653
[2018-09-22 16:39] Train Step 0660/10000, Batch Size = 128, Examples/Sec = 4471.46, Accuracy = 0.76, Loss = 0.605
[2018-09-22 16:39] Train Step 0670/10000, Batch Size = 128, Examples/Sec = 4536.49, Accuracy = 0.69, Loss = 0.704
[2018-09-22 16:39] Train Step 0680/10000, Batch Size = 128, Examples/Sec = 4459.88, Accuracy = 0.74, Loss = 0.652
[2018-09-22 16:39] Train Step 0690/10000, Batch Size = 128, Examples/Sec = 4524.41, Accuracy = 0.74, Loss = 0.568
[2018-09-22 16:39] Train Step 0700/10000, Batch Size = 128, Examples/Sec = 4406.90, Accuracy = 0.81, Loss = 0.525
[2018-09-22 16:39] Train Step 0710/10000, Batch Size = 128, Examples/Sec = 4651.98, Accuracy = 0.78, Loss = 0.545
[2018-09-22 16:39] Train Step 0720/10000, Batch Size = 128, Examples/Sec = 4521.82, Accuracy = 0.76, Loss = 0.595
[2018-09-22 16:39] Train Step 0730/10000, Batch Size = 128, Examples/Sec = 4464.03, Accuracy = 0.70, Loss = 0.699
[2018-09-22 16:39] Train Step 0740/10000, Batch Size = 128, Examples/Sec = 4510.42, Accuracy = 0.88, Loss = 0.423
[2018-09-22 16:39] Train Step 0750/10000, Batch Size = 128, Examples/Sec = 4448.16, Accuracy = 0.80, Loss = 0.523
[2018-09-22 16:39] Train Step 0760/10000, Batch Size = 128, Examples/Sec = 4505.24, Accuracy = 0.74, Loss = 0.637
[2018-09-22 16:39] Train Step 0770/10000, Batch Size = 128, Examples/Sec = 4522.85, Accuracy = 0.84, Loss = 0.464
[2018-09-22 16:39] Train Step 0780/10000, Batch Size = 128, Examples/Sec = 4442.82, Accuracy = 0.79, Loss = 0.552
[2018-09-22 16:39] Train Step 0790/10000, Batch Size = 128, Examples/Sec = 4544.98, Accuracy = 0.75, Loss = 0.547
[2018-09-22 16:39] Train Step 0800/10000, Batch Size = 128, Examples/Sec = 4529.41, Accuracy = 0.77, Loss = 0.508
[2018-09-22 16:39] Train Step 0810/10000, Batch Size = 128, Examples/Sec = 4516.15, Accuracy = 0.80, Loss = 0.450
[2018-09-22 16:39] Train Step 0820/10000, Batch Size = 128, Examples/Sec = 4565.54, Accuracy = 0.79, Loss = 0.519
[2018-09-22 16:39] Train Step 0830/10000, Batch Size = 128, Examples/Sec = 4510.46, Accuracy = 0.84, Loss = 0.498
[2018-09-22 16:39] Train Step 0840/10000, Batch Size = 128, Examples/Sec = 4465.96, Accuracy = 0.76, Loss = 0.589
[2018-09-22 16:39] Train Step 0850/10000, Batch Size = 128, Examples/Sec = 4551.14, Accuracy = 0.80, Loss = 0.479
[2018-09-22 16:39] Train Step 0860/10000, Batch Size = 128, Examples/Sec = 4556.12, Accuracy = 0.79, Loss = 0.484
[2018-09-22 16:39] Train Step 0870/10000, Batch Size = 128, Examples/Sec = 4595.95, Accuracy = 0.81, Loss = 0.425
[2018-09-22 16:39] Train Step 0880/10000, Batch Size = 128, Examples/Sec = 4404.73, Accuracy = 0.77, Loss = 0.563
[2018-09-22 16:39] Train Step 0890/10000, Batch Size = 128, Examples/Sec = 4498.52, Accuracy = 0.84, Loss = 0.442
[2018-09-22 16:39] Train Step 0900/10000, Batch Size = 128, Examples/Sec = 4485.66, Accuracy = 0.76, Loss = 0.526
[2018-09-22 16:39] Train Step 0910/10000, Batch Size = 128, Examples/Sec = 4464.70, Accuracy = 0.85, Loss = 0.402
[2018-09-22 16:39] Train Step 0920/10000, Batch Size = 128, Examples/Sec = 4465.07, Accuracy = 0.86, Loss = 0.393
[2018-09-22 16:39] Train Step 0930/10000, Batch Size = 128, Examples/Sec = 4476.35, Accuracy = 0.82, Loss = 0.431
[2018-09-22 16:39] Train Step 0940/10000, Batch Size = 128, Examples/Sec = 4461.43, Accuracy = 0.81, Loss = 0.479
[2018-09-22 16:39] Train Step 0950/10000, Batch Size = 128, Examples/Sec = 4552.34, Accuracy = 0.78, Loss = 0.555
[2018-09-22 16:39] Train Step 0960/10000, Batch Size = 128, Examples/Sec = 4407.88, Accuracy = 0.84, Loss = 0.447
[2018-09-22 16:39] Train Step 0970/10000, Batch Size = 128, Examples/Sec = 4508.87, Accuracy = 0.84, Loss = 0.388
[2018-09-22 16:39] Train Step 0980/10000, Batch Size = 128, Examples/Sec = 4516.15, Accuracy = 0.81, Loss = 0.489
[2018-09-22 16:39] Train Step 0990/10000, Batch Size = 128, Examples/Sec = 4526.32, Accuracy = 0.82, Loss = 0.446
[2018-09-22 16:39] Train Step 1000/10000, Batch Size = 128, Examples/Sec = 4496.71, Accuracy = 0.86, Loss = 0.384
[2018-09-22 16:39] Train Step 1010/10000, Batch Size = 128, Examples/Sec = 4510.00, Accuracy = 0.81, Loss = 0.400
[2018-09-22 16:39] Train Step 1020/10000, Batch Size = 128, Examples/Sec = 4966.11, Accuracy = 0.84, Loss = 0.402
[2018-09-22 16:39] Train Step 1030/10000, Batch Size = 128, Examples/Sec = 4991.32, Accuracy = 0.87, Loss = 0.400
[2018-09-22 16:39] Train Step 1040/10000, Batch Size = 128, Examples/Sec = 4829.06, Accuracy = 0.79, Loss = 0.431
[2018-09-22 16:39] Train Step 1050/10000, Batch Size = 128, Examples/Sec = 5030.93, Accuracy = 0.84, Loss = 0.411
[2018-09-22 16:39] Train Step 1060/10000, Batch Size = 128, Examples/Sec = 4952.00, Accuracy = 0.82, Loss = 0.482
[2018-09-22 16:39] Train Step 1070/10000, Batch Size = 128, Examples/Sec = 4904.63, Accuracy = 0.84, Loss = 0.419
[2018-09-22 16:39] Train Step 1080/10000, Batch Size = 128, Examples/Sec = 4916.00, Accuracy = 0.91, Loss = 0.277
[2018-09-22 16:39] Train Step 1090/10000, Batch Size = 128, Examples/Sec = 5171.77, Accuracy = 0.84, Loss = 0.363
[2018-09-22 16:39] Train Step 1100/10000, Batch Size = 128, Examples/Sec = 4769.18, Accuracy = 0.88, Loss = 0.321
[2018-09-22 16:39] Train Step 1110/10000, Batch Size = 128, Examples/Sec = 5034.71, Accuracy = 0.84, Loss = 0.391
[2018-09-22 16:39] Train Step 1120/10000, Batch Size = 128, Examples/Sec = 4967.58, Accuracy = 0.87, Loss = 0.378
[2018-09-22 16:39] Train Step 1130/10000, Batch Size = 128, Examples/Sec = 5155.83, Accuracy = 0.92, Loss = 0.306
[2018-09-22 16:39] Train Step 1140/10000, Batch Size = 128, Examples/Sec = 4926.46, Accuracy = 0.89, Loss = 0.363
[2018-09-22 16:39] Train Step 1150/10000, Batch Size = 128, Examples/Sec = 5124.57, Accuracy = 0.82, Loss = 0.401
[2018-09-22 16:39] Train Step 1160/10000, Batch Size = 128, Examples/Sec = 4969.60, Accuracy = 0.87, Loss = 0.302
[2018-09-22 16:39] Train Step 1170/10000, Batch Size = 128, Examples/Sec = 4977.06, Accuracy = 0.87, Loss = 0.313
[2018-09-22 16:39] Train Step 1180/10000, Batch Size = 128, Examples/Sec = 4989.78, Accuracy = 0.87, Loss = 0.333
[2018-09-22 16:39] Train Step 1190/10000, Batch Size = 128, Examples/Sec = 4883.75, Accuracy = 0.91, Loss = 0.266
[2018-09-22 16:39] Train Step 1200/10000, Batch Size = 128, Examples/Sec = 5068.02, Accuracy = 0.89, Loss = 0.306
[2018-09-22 16:39] Train Step 1210/10000, Batch Size = 128, Examples/Sec = 4926.51, Accuracy = 0.86, Loss = 0.344
[2018-09-22 16:39] Train Step 1220/10000, Batch Size = 128, Examples/Sec = 4810.93, Accuracy = 0.91, Loss = 0.290
[2018-09-22 16:39] Train Step 1230/10000, Batch Size = 128, Examples/Sec = 4901.23, Accuracy = 0.85, Loss = 0.342
[2018-09-22 16:39] Train Step 1240/10000, Batch Size = 128, Examples/Sec = 4955.93, Accuracy = 0.90, Loss = 0.269
[2018-09-22 16:39] Train Step 1250/10000, Batch Size = 128, Examples/Sec = 4935.61, Accuracy = 0.87, Loss = 0.354
[2018-09-22 16:39] Train Step 1260/10000, Batch Size = 128, Examples/Sec = 5054.57, Accuracy = 0.92, Loss = 0.262
[2018-09-22 16:39] Train Step 1270/10000, Batch Size = 128, Examples/Sec = 5055.33, Accuracy = 0.90, Loss = 0.243
[2018-09-22 16:39] Train Step 1280/10000, Batch Size = 128, Examples/Sec = 4812.83, Accuracy = 0.93, Loss = 0.232
[2018-09-22 16:39] Train Step 1290/10000, Batch Size = 128, Examples/Sec = 4857.15, Accuracy = 0.85, Loss = 0.339
[2018-09-22 16:39] Train Step 1300/10000, Batch Size = 128, Examples/Sec = 4942.20, Accuracy = 0.88, Loss = 0.317
[2018-09-22 16:39] Train Step 1310/10000, Batch Size = 128, Examples/Sec = 4965.56, Accuracy = 0.90, Loss = 0.334
[2018-09-22 16:39] Train Step 1320/10000, Batch Size = 128, Examples/Sec = 5060.67, Accuracy = 0.92, Loss = 0.226
[2018-09-22 16:39] Train Step 1330/10000, Batch Size = 128, Examples/Sec = 4816.93, Accuracy = 0.92, Loss = 0.226
[2018-09-22 16:39] Train Step 1340/10000, Batch Size = 128, Examples/Sec = 4939.65, Accuracy = 0.88, Loss = 0.261
[2018-09-22 16:39] Train Step 1350/10000, Batch Size = 128, Examples/Sec = 4870.46, Accuracy = 0.96, Loss = 0.204
[2018-09-22 16:39] Train Step 1360/10000, Batch Size = 128, Examples/Sec = 4878.03, Accuracy = 0.88, Loss = 0.230
[2018-09-22 16:39] Train Step 1370/10000, Batch Size = 128, Examples/Sec = 4872.49, Accuracy = 0.94, Loss = 0.206
[2018-09-22 16:39] Train Step 1380/10000, Batch Size = 128, Examples/Sec = 4953.37, Accuracy = 0.91, Loss = 0.237
[2018-09-22 16:39] Train Step 1390/10000, Batch Size = 128, Examples/Sec = 5280.63, Accuracy = 0.94, Loss = 0.204
[2018-09-22 16:39] Train Step 1400/10000, Batch Size = 128, Examples/Sec = 4938.52, Accuracy = 0.92, Loss = 0.217
[2018-09-22 16:39] Train Step 1410/10000, Batch Size = 128, Examples/Sec = 5200.93, Accuracy = 0.94, Loss = 0.193
[2018-09-22 16:39] Train Step 1420/10000, Batch Size = 128, Examples/Sec = 4800.05, Accuracy = 0.92, Loss = 0.238
[2018-09-22 16:39] Train Step 1430/10000, Batch Size = 128, Examples/Sec = 4963.90, Accuracy = 0.91, Loss = 0.219
[2018-09-22 16:39] Train Step 1440/10000, Batch Size = 128, Examples/Sec = 5044.83, Accuracy = 0.90, Loss = 0.225
[2018-09-22 16:39] Train Step 1450/10000, Batch Size = 128, Examples/Sec = 4814.55, Accuracy = 0.94, Loss = 0.210
[2018-09-22 16:39] Train Step 1460/10000, Batch Size = 128, Examples/Sec = 4957.07, Accuracy = 0.97, Loss = 0.164
[2018-09-22 16:39] Train Step 1470/10000, Batch Size = 128, Examples/Sec = 4968.04, Accuracy = 0.92, Loss = 0.247
[2018-09-22 16:39] Train Step 1480/10000, Batch Size = 128, Examples/Sec = 4703.70, Accuracy = 0.88, Loss = 0.275
[2018-09-22 16:39] Train Step 1490/10000, Batch Size = 128, Examples/Sec = 4839.07, Accuracy = 0.95, Loss = 0.208
[2018-09-22 16:39] Train Step 1500/10000, Batch Size = 128, Examples/Sec = 4832.50, Accuracy = 0.92, Loss = 0.238
[2018-09-22 16:39] Train Step 1510/10000, Batch Size = 128, Examples/Sec = 4814.55, Accuracy = 0.91, Loss = 0.223
[2018-09-22 16:39] Train Step 1520/10000, Batch Size = 128, Examples/Sec = 5081.50, Accuracy = 0.90, Loss = 0.241
[2018-09-22 16:39] Train Step 1530/10000, Batch Size = 128, Examples/Sec = 5171.52, Accuracy = 0.95, Loss = 0.150
[2018-09-22 16:39] Train Step 1540/10000, Batch Size = 128, Examples/Sec = 5003.78, Accuracy = 0.88, Loss = 0.248
[2018-09-22 16:39] Train Step 1550/10000, Batch Size = 128, Examples/Sec = 4855.48, Accuracy = 0.94, Loss = 0.197
[2018-09-22 16:39] Train Step 1560/10000, Batch Size = 128, Examples/Sec = 5089.55, Accuracy = 0.94, Loss = 0.183
[2018-09-22 16:39] Train Step 1570/10000, Batch Size = 128, Examples/Sec = 4807.48, Accuracy = 0.95, Loss = 0.180
[2018-09-22 16:39] Train Step 1580/10000, Batch Size = 128, Examples/Sec = 4878.03, Accuracy = 0.90, Loss = 0.258
[2018-09-22 16:39] Train Step 1590/10000, Batch Size = 128, Examples/Sec = 5258.95, Accuracy = 0.95, Loss = 0.166
[2018-09-22 16:39] Train Step 1600/10000, Batch Size = 128, Examples/Sec = 5118.08, Accuracy = 0.97, Loss = 0.134
[2018-09-22 16:39] Train Step 1610/10000, Batch Size = 128, Examples/Sec = 4915.68, Accuracy = 0.94, Loss = 0.202
[2018-09-22 16:39] Train Step 1620/10000, Batch Size = 128, Examples/Sec = 4874.44, Accuracy = 0.98, Loss = 0.172
[2018-09-22 16:39] Train Step 1630/10000, Batch Size = 128, Examples/Sec = 4891.05, Accuracy = 0.95, Loss = 0.161
[2018-09-22 16:39] Train Step 1640/10000, Batch Size = 128, Examples/Sec = 4763.89, Accuracy = 0.98, Loss = 0.141
[2018-09-22 16:39] Train Step 1650/10000, Batch Size = 128, Examples/Sec = 4886.11, Accuracy = 0.95, Loss = 0.163
[2018-09-22 16:39] Train Step 1660/10000, Batch Size = 128, Examples/Sec = 4972.78, Accuracy = 0.95, Loss = 0.145
[2018-09-22 16:39] Train Step 1670/10000, Batch Size = 128, Examples/Sec = 4854.26, Accuracy = 0.95, Loss = 0.166
[2018-09-22 16:39] Train Step 1680/10000, Batch Size = 128, Examples/Sec = 4950.95, Accuracy = 0.93, Loss = 0.167
[2018-09-22 16:39] Train Step 1690/10000, Batch Size = 128, Examples/Sec = 4989.60, Accuracy = 0.98, Loss = 0.140
[2018-09-22 16:39] Train Step 1700/10000, Batch Size = 128, Examples/Sec = 4888.07, Accuracy = 0.96, Loss = 0.142
[2018-09-22 16:39] Train Step 1710/10000, Batch Size = 128, Examples/Sec = 5063.43, Accuracy = 0.98, Loss = 0.128
[2018-09-22 16:39] Train Step 1720/10000, Batch Size = 128, Examples/Sec = 5053.38, Accuracy = 0.96, Loss = 0.132
[2018-09-22 16:39] Train Step 1730/10000, Batch Size = 128, Examples/Sec = 4922.44, Accuracy = 0.98, Loss = 0.113
[2018-09-22 16:39] Train Step 1740/10000, Batch Size = 128, Examples/Sec = 4802.41, Accuracy = 0.96, Loss = 0.154
[2018-09-22 16:39] Train Step 1750/10000, Batch Size = 128, Examples/Sec = 4880.02, Accuracy = 0.98, Loss = 0.080
[2018-09-22 16:39] Train Step 1760/10000, Batch Size = 128, Examples/Sec = 4960.83, Accuracy = 0.98, Loss = 0.148
[2018-09-22 16:39] Train Step 1770/10000, Batch Size = 128, Examples/Sec = 5155.38, Accuracy = 0.97, Loss = 0.115
[2018-09-22 16:39] Train Step 1780/10000, Batch Size = 128, Examples/Sec = 5185.25, Accuracy = 0.98, Loss = 0.120
[2018-09-22 16:39] Train Step 1790/10000, Batch Size = 128, Examples/Sec = 5052.33, Accuracy = 0.98, Loss = 0.131
[2018-09-22 16:39] Train Step 1800/10000, Batch Size = 128, Examples/Sec = 4789.77, Accuracy = 0.98, Loss = 0.123
[2018-09-22 16:39] Train Step 1810/10000, Batch Size = 128, Examples/Sec = 4992.34, Accuracy = 0.95, Loss = 0.102
[2018-09-22 16:39] Train Step 1820/10000, Batch Size = 128, Examples/Sec = 5025.38, Accuracy = 0.95, Loss = 0.155
[2018-09-22 16:39] Train Step 1830/10000, Batch Size = 128, Examples/Sec = 5229.81, Accuracy = 0.99, Loss = 0.108
[2018-09-22 16:39] Train Step 1840/10000, Batch Size = 128, Examples/Sec = 5054.14, Accuracy = 0.97, Loss = 0.124
[2018-09-22 16:39] Train Step 1850/10000, Batch Size = 128, Examples/Sec = 4850.48, Accuracy = 0.98, Loss = 0.102
[2018-09-22 16:39] Train Step 1860/10000, Batch Size = 128, Examples/Sec = 4852.41, Accuracy = 0.98, Loss = 0.130
[2018-09-22 16:39] Train Step 1870/10000, Batch Size = 128, Examples/Sec = 5015.70, Accuracy = 1.00, Loss = 0.084
[2018-09-22 16:39] Train Step 1880/10000, Batch Size = 128, Examples/Sec = 4848.16, Accuracy = 1.00, Loss = 0.086
[2018-09-22 16:39] Train Step 1890/10000, Batch Size = 128, Examples/Sec = 4840.08, Accuracy = 0.97, Loss = 0.104
[2018-09-22 16:39] Train Step 1900/10000, Batch Size = 128, Examples/Sec = 4919.15, Accuracy = 0.98, Loss = 0.095
[2018-09-22 16:39] Train Step 1910/10000, Batch Size = 128, Examples/Sec = 5019.46, Accuracy = 0.99, Loss = 0.116
[2018-09-22 16:39] Train Step 1920/10000, Batch Size = 128, Examples/Sec = 5112.33, Accuracy = 0.99, Loss = 0.087
[2018-09-22 16:39] Train Step 1930/10000, Batch Size = 128, Examples/Sec = 5021.80, Accuracy = 0.98, Loss = 0.093
[2018-09-22 16:39] Train Step 1940/10000, Batch Size = 128, Examples/Sec = 4927.00, Accuracy = 0.97, Loss = 0.114
[2018-09-22 16:39] Train Step 1950/10000, Batch Size = 128, Examples/Sec = 4957.26, Accuracy = 0.99, Loss = 0.093
[2018-09-22 16:39] Train Step 1960/10000, Batch Size = 128, Examples/Sec = 5102.37, Accuracy = 1.00, Loss = 0.073
[2018-09-22 16:39] Train Step 1970/10000, Batch Size = 128, Examples/Sec = 5028.11, Accuracy = 0.98, Loss = 0.087
[2018-09-22 16:39] Train Step 1980/10000, Batch Size = 128, Examples/Sec = 4987.65, Accuracy = 0.98, Loss = 0.073
[2018-09-22 16:39] Train Step 1990/10000, Batch Size = 128, Examples/Sec = 4980.02, Accuracy = 1.00, Loss = 0.067
[2018-09-22 16:39] Train Step 2000/10000, Batch Size = 128, Examples/Sec = 5024.39, Accuracy = 0.98, Loss = 0.066
[2018-09-22 16:39] Train Step 2010/10000, Batch Size = 128, Examples/Sec = 4782.77, Accuracy = 0.97, Loss = 0.117
[2018-09-22 16:39] Train Step 2020/10000, Batch Size = 128, Examples/Sec = 4954.60, Accuracy = 0.99, Loss = 0.081
[2018-09-22 16:39] Train Step 2030/10000, Batch Size = 128, Examples/Sec = 4784.09, Accuracy = 0.99, Loss = 0.087
[2018-09-22 16:39] Train Step 2040/10000, Batch Size = 128, Examples/Sec = 4826.63, Accuracy = 0.98, Loss = 0.088
[2018-09-22 16:39] Train Step 2050/10000, Batch Size = 128, Examples/Sec = 4984.23, Accuracy = 0.99, Loss = 0.077
[2018-09-22 16:39] Train Step 2060/10000, Batch Size = 128, Examples/Sec = 5079.10, Accuracy = 0.98, Loss = 0.064
[2018-09-22 16:39] Train Step 2070/10000, Batch Size = 128, Examples/Sec = 4902.26, Accuracy = 1.00, Loss = 0.071
[2018-09-22 16:39] Train Step 2080/10000, Batch Size = 128, Examples/Sec = 4911.27, Accuracy = 0.99, Loss = 0.048
[2018-09-22 16:39] Train Step 2090/10000, Batch Size = 128, Examples/Sec = 4885.09, Accuracy = 0.99, Loss = 0.046
