Initialize dataset with 23013 characters, 56 unique.
Epoch 0 [2018-09-28 12:22] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 545.62, Accuracy = 0.02, Loss = 4.039
Epoch 1 [2018-09-28 12:22] Train Step 0110/1000000, Batch Size = 64, Examples/Sec = 769.14, Accuracy = 0.55, Loss = 1.506
Epoch 1 [2018-09-28 12:22] Train Step 0120/1000000, Batch Size = 64, Examples/Sec = 755.62, Accuracy = 0.54, Loss = 1.548
Epoch 1 [2018-09-28 12:22] Train Step 0130/1000000, Batch Size = 64, Examples/Sec = 6438.85, Accuracy = 0.55, Loss = 1.520
Epoch 1 [2018-09-28 12:22] Train Step 0140/1000000, Batch Size = 64, Examples/Sec = 6496.50, Accuracy = 0.53, Loss = 1.548
Epoch 1 [2018-09-28 12:22] Train Step 0150/1000000, Batch Size = 64, Examples/Sec = 747.25, Accuracy = 0.55, Loss = 1.501
Epoch 1 [2018-09-28 12:22] Train Step 0160/1000000, Batch Size = 64, Examples/Sec = 762.30, Accuracy = 0.54, Loss = 1.538
Epoch 1 [2018-09-28 12:22] Train Step 0170/1000000, Batch Size = 64, Examples/Sec = 6283.45, Accuracy = 0.54, Loss = 1.526
Epoch 1 [2018-09-28 12:22] Train Step 0180/1000000, Batch Size = 64, Examples/Sec = 6606.83, Accuracy = 0.56, Loss = 1.495
Epoch 1 [2018-09-28 12:22] Train Step 0190/1000000, Batch Size = 64, Examples/Sec = 751.75, Accuracy = 0.56, Loss = 1.461
Epoch 1 [2018-09-28 12:22] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 753.85, Accuracy = 0.56, Loss = 1.465
Evaluating: 
Epoch 1 [2018-09-28 12:22] Train Step 0210/1000000, Batch Size = 64, Examples/Sec = 750.87, Accuracy = 0.54, Loss = 1.503
Epoch 1 [2018-09-28 12:22] Train Step 0220/1000000, Batch Size = 64, Examples/Sec = 913.19, Accuracy = 0.56, Loss = 1.431
Epoch 1 [2018-09-28 12:22] Train Step 0230/1000000, Batch Size = 64, Examples/Sec = 765.45, Accuracy = 0.58, Loss = 1.420
Epoch 1 [2018-09-28 12:22] Train Step 0240/1000000, Batch Size = 64, Examples/Sec = 762.82, Accuracy = 0.56, Loss = 1.443
Epoch 1 [2018-09-28 12:22] Train Step 0250/1000000, Batch Size = 64, Examples/Sec = 766.14, Accuracy = 0.59, Loss = 1.354
Epoch 1 [2018-09-28 12:22] Train Step 0260/1000000, Batch Size = 64, Examples/Sec = 682.11, Accuracy = 0.56, Loss = 1.434
Epoch 1 [2018-09-28 12:22] Train Step 0270/1000000, Batch Size = 64, Examples/Sec = 6343.59, Accuracy = 0.59, Loss = 1.355
Epoch 1 [2018-09-28 12:22] Train Step 0280/1000000, Batch Size = 64, Examples/Sec = 6055.25, Accuracy = 0.57, Loss = 1.404
Epoch 1 [2018-09-28 12:22] Train Step 0290/1000000, Batch Size = 64, Examples/Sec = 6422.05, Accuracy = 0.61, Loss = 1.324
Epoch 1 [2018-09-28 12:22] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 755.18, Accuracy = 0.57, Loss = 1.404
Epoch 1 [2018-09-28 12:22] Train Step 0310/1000000, Batch Size = 64, Examples/Sec = 767.97, Accuracy = 0.58, Loss = 1.352
Epoch 1 [2018-09-28 12:22] Train Step 0320/1000000, Batch Size = 64, Examples/Sec = 816.14, Accuracy = 0.57, Loss = 1.405
Epoch 1 [2018-09-28 12:22] Train Step 0330/1000000, Batch Size = 64, Examples/Sec = 751.36, Accuracy = 0.59, Loss = 1.349
Epoch 1 [2018-09-28 12:22] Train Step 0340/1000000, Batch Size = 64, Examples/Sec = 5153.99, Accuracy = 0.59, Loss = 1.382
Epoch 1 [2018-09-28 12:22] Train Step 0350/1000000, Batch Size = 64, Examples/Sec = 5759.68, Accuracy = 0.60, Loss = 1.350
Epoch 2 [2018-09-28 12:22] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 780.52, Accuracy = 0.59, Loss = 1.336
Evaluating: 
Epoch 2 [2018-09-28 12:22] Train Step 0010/1000000, Batch Size = 64, Examples/Sec = 756.29, Accuracy = 0.60, Loss = 1.316
Epoch 2 [2018-09-28 12:22] Train Step 0020/1000000, Batch Size = 64, Examples/Sec = 753.46, Accuracy = 0.59, Loss = 1.338
Epoch 2 [2018-09-28 12:22] Train Step 0030/1000000, Batch Size = 64, Examples/Sec = 755.34, Accuracy = 0.59, Loss = 1.333
Epoch 2 [2018-09-28 12:22] Train Step 0040/1000000, Batch Size = 64, Examples/Sec = 6557.60, Accuracy = 0.63, Loss = 1.228
Epoch 2 [2018-09-28 12:23] Train Step 0050/1000000, Batch Size = 64, Examples/Sec = 6622.97, Accuracy = 0.59, Loss = 1.349
Epoch 2 [2018-09-28 12:23] Train Step 0060/1000000, Batch Size = 64, Examples/Sec = 751.91, Accuracy = 0.62, Loss = 1.267
Epoch 2 [2018-09-28 12:23] Train Step 0070/1000000, Batch Size = 64, Examples/Sec = 775.49, Accuracy = 0.62, Loss = 1.216
Epoch 2 [2018-09-28 12:23] Train Step 0080/1000000, Batch Size = 64, Examples/Sec = 6419.29, Accuracy = 0.60, Loss = 1.288
Epoch 2 [2018-09-28 12:23] Train Step 0090/1000000, Batch Size = 64, Examples/Sec = 765.63, Accuracy = 0.62, Loss = 1.254
Epoch 2 [2018-09-28 12:23] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 792.48, Accuracy = 0.63, Loss = 1.227
Epoch 2 [2018-09-28 12:23] Train Step 0110/1000000, Batch Size = 64, Examples/Sec = 842.75, Accuracy = 0.63, Loss = 1.241
Epoch 2 [2018-09-28 12:23] Train Step 0120/1000000, Batch Size = 64, Examples/Sec = 5498.92, Accuracy = 0.63, Loss = 1.218
Epoch 2 [2018-09-28 12:23] Train Step 0130/1000000, Batch Size = 64, Examples/Sec = 791.53, Accuracy = 0.63, Loss = 1.255
Epoch 2 [2018-09-28 12:23] Train Step 0140/1000000, Batch Size = 64, Examples/Sec = 5609.35, Accuracy = 0.62, Loss = 1.217
Epoch 2 [2018-09-28 12:23] Train Step 0150/1000000, Batch Size = 64, Examples/Sec = 768.92, Accuracy = 0.63, Loss = 1.196
Epoch 2 [2018-09-28 12:23] Train Step 0160/1000000, Batch Size = 64, Examples/Sec = 5739.85, Accuracy = 0.64, Loss = 1.207
Epoch 2 [2018-09-28 12:23] Train Step 0170/1000000, Batch Size = 64, Examples/Sec = 6682.98, Accuracy = 0.60, Loss = 1.285
Epoch 2 [2018-09-28 12:23] Train Step 0180/1000000, Batch Size = 64, Examples/Sec = 6443.48, Accuracy = 0.64, Loss = 1.175
Epoch 2 [2018-09-28 12:23] Train Step 0190/1000000, Batch Size = 64, Examples/Sec = 748.98, Accuracy = 0.66, Loss = 1.099
Epoch 2 [2018-09-28 12:23] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 4457.51, Accuracy = 0.63, Loss = 1.216
Evaluating: 
Epoch 2 [2018-09-28 12:23] Train Step 0210/1000000, Batch Size = 64, Examples/Sec = 5719.55, Accuracy = 0.64, Loss = 1.212
Epoch 2 [2018-09-28 12:23] Train Step 0220/1000000, Batch Size = 64, Examples/Sec = 754.11, Accuracy = 0.64, Loss = 1.162
Epoch 2 [2018-09-28 12:23] Train Step 0230/1000000, Batch Size = 64, Examples/Sec = 4866.66, Accuracy = 0.64, Loss = 1.166
Epoch 2 [2018-09-28 12:23] Train Step 0240/1000000, Batch Size = 64, Examples/Sec = 5698.30, Accuracy = 0.65, Loss = 1.105
Epoch 2 [2018-09-28 12:23] Train Step 0250/1000000, Batch Size = 64, Examples/Sec = 754.74, Accuracy = 0.64, Loss = 1.175
Epoch 2 [2018-09-28 12:23] Train Step 0260/1000000, Batch Size = 64, Examples/Sec = 5309.46, Accuracy = 0.64, Loss = 1.138
Epoch 2 [2018-09-28 12:23] Train Step 0270/1000000, Batch Size = 64, Examples/Sec = 4485.96, Accuracy = 0.64, Loss = 1.158
Epoch 2 [2018-09-28 12:23] Train Step 0280/1000000, Batch Size = 64, Examples/Sec = 756.13, Accuracy = 0.67, Loss = 1.105
Epoch 2 [2018-09-28 12:23] Train Step 0290/1000000, Batch Size = 64, Examples/Sec = 5685.39, Accuracy = 0.65, Loss = 1.134
Epoch 2 [2018-09-28 12:23] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 741.39, Accuracy = 0.67, Loss = 1.087
Epoch 2 [2018-09-28 12:23] Train Step 0310/1000000, Batch Size = 64, Examples/Sec = 5386.81, Accuracy = 0.66, Loss = 1.125
Epoch 2 [2018-09-28 12:23] Train Step 0320/1000000, Batch Size = 64, Examples/Sec = 808.08, Accuracy = 0.64, Loss = 1.145
Epoch 2 [2018-09-28 12:23] Train Step 0330/1000000, Batch Size = 64, Examples/Sec = 806.94, Accuracy = 0.64, Loss = 1.131
Epoch 2 [2018-09-28 12:23] Train Step 0340/1000000, Batch Size = 64, Examples/Sec = 759.17, Accuracy = 0.66, Loss = 1.109
Epoch 2 [2018-09-28 12:23] Train Step 0350/1000000, Batch Size = 64, Examples/Sec = 5484.09, Accuracy = 0.67, Loss = 1.065
Epoch 3 [2018-09-28 12:23] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 6263.81, Accuracy = 0.66, Loss = 1.101
Evaluating: 
Epoch 3 [2018-09-28 12:23] Train Step 0010/1000000, Batch Size = 64, Examples/Sec = 3623.83, Accuracy = 0.67, Loss = 1.066
Epoch 3 [2018-09-28 12:23] Train Step 0020/1000000, Batch Size = 64, Examples/Sec = 5690.57, Accuracy = 0.69, Loss = 1.004
Epoch 3 [2018-09-28 12:23] Train Step 0030/1000000, Batch Size = 64, Examples/Sec = 5682.86, Accuracy = 0.67, Loss = 1.073
Epoch 3 [2018-09-28 12:23] Train Step 0040/1000000, Batch Size = 64, Examples/Sec = 775.36, Accuracy = 0.66, Loss = 1.094
Epoch 3 [2018-09-28 12:23] Train Step 0050/1000000, Batch Size = 64, Examples/Sec = 5677.57, Accuracy = 0.68, Loss = 1.063
Epoch 3 [2018-09-28 12:23] Train Step 0060/1000000, Batch Size = 64, Examples/Sec = 4125.46, Accuracy = 0.66, Loss = 1.076
Epoch 3 [2018-09-28 12:23] Train Step 0070/1000000, Batch Size = 64, Examples/Sec = 758.83, Accuracy = 0.67, Loss = 1.089
Epoch 3 [2018-09-28 12:23] Train Step 0080/1000000, Batch Size = 64, Examples/Sec = 5765.37, Accuracy = 0.66, Loss = 1.079
Epoch 3 [2018-09-28 12:23] Train Step 0090/1000000, Batch Size = 64, Examples/Sec = 729.03, Accuracy = 0.67, Loss = 1.039
Epoch 3 [2018-09-28 12:23] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 4807.23, Accuracy = 0.67, Loss = 1.070
Epoch 3 [2018-09-28 12:23] Train Step 0110/1000000, Batch Size = 64, Examples/Sec = 775.37, Accuracy = 0.67, Loss = 1.022
Epoch 3 [2018-09-28 12:23] Train Step 0120/1000000, Batch Size = 64, Examples/Sec = 5466.89, Accuracy = 0.69, Loss = 0.977
Epoch 3 [2018-09-28 12:23] Train Step 0130/1000000, Batch Size = 64, Examples/Sec = 753.52, Accuracy = 0.69, Loss = 1.024
Epoch 3 [2018-09-28 12:23] Train Step 0140/1000000, Batch Size = 64, Examples/Sec = 5542.29, Accuracy = 0.70, Loss = 0.973
Epoch 3 [2018-09-28 12:23] Train Step 0150/1000000, Batch Size = 64, Examples/Sec = 788.19, Accuracy = 0.69, Loss = 1.025
Epoch 3 [2018-09-28 12:23] Train Step 0160/1000000, Batch Size = 64, Examples/Sec = 751.24, Accuracy = 0.70, Loss = 0.992
Epoch 3 [2018-09-28 12:23] Train Step 0170/1000000, Batch Size = 64, Examples/Sec = 762.48, Accuracy = 0.68, Loss = 1.024
Epoch 3 [2018-09-28 12:23] Train Step 0180/1000000, Batch Size = 64, Examples/Sec = 773.91, Accuracy = 0.69, Loss = 1.002
Epoch 3 [2018-09-28 12:23] Train Step 0190/1000000, Batch Size = 64, Examples/Sec = 5726.99, Accuracy = 0.71, Loss = 0.955
Epoch 3 [2018-09-28 12:23] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 662.39, Accuracy = 0.68, Loss = 1.045
Evaluating: 
Epoch 3 [2018-09-28 12:23] Train Step 0210/1000000, Batch Size = 64, Examples/Sec = 5709.69, Accuracy = 0.70, Loss = 0.970
Epoch 3 [2018-09-28 12:23] Train Step 0220/1000000, Batch Size = 64, Examples/Sec = 5810.29, Accuracy = 0.70, Loss = 0.973
Epoch 3 [2018-09-28 12:23] Train Step 0230/1000000, Batch Size = 64, Examples/Sec = 6241.38, Accuracy = 0.70, Loss = 0.980
Epoch 3 [2018-09-28 12:23] Train Step 0240/1000000, Batch Size = 64, Examples/Sec = 5038.11, Accuracy = 0.70, Loss = 0.994
Epoch 3 [2018-09-28 12:23] Train Step 0250/1000000, Batch Size = 64, Examples/Sec = 5778.40, Accuracy = 0.69, Loss = 0.993
Epoch 3 [2018-09-28 12:23] Train Step 0260/1000000, Batch Size = 64, Examples/Sec = 5116.47, Accuracy = 0.72, Loss = 0.917
Epoch 3 [2018-09-28 12:23] Train Step 0270/1000000, Batch Size = 64, Examples/Sec = 5986.92, Accuracy = 0.70, Loss = 0.971
Epoch 3 [2018-09-28 12:23] Train Step 0280/1000000, Batch Size = 64, Examples/Sec = 790.07, Accuracy = 0.72, Loss = 0.908
Epoch 3 [2018-09-28 12:23] Train Step 0290/1000000, Batch Size = 64, Examples/Sec = 751.89, Accuracy = 0.71, Loss = 0.943
Epoch 3 [2018-09-28 12:23] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 5686.95, Accuracy = 0.71, Loss = 0.963
Epoch 3 [2018-09-28 12:23] Train Step 0310/1000000, Batch Size = 64, Examples/Sec = 767.59, Accuracy = 0.70, Loss = 0.980
Epoch 3 [2018-09-28 12:23] Train Step 0320/1000000, Batch Size = 64, Examples/Sec = 782.84, Accuracy = 0.69, Loss = 0.950
Epoch 3 [2018-09-28 12:23] Train Step 0330/1000000, Batch Size = 64, Examples/Sec = 5737.27, Accuracy = 0.71, Loss = 0.973
Epoch 3 [2018-09-28 12:23] Train Step 0340/1000000, Batch Size = 64, Examples/Sec = 2202.71, Accuracy = 0.72, Loss = 0.915
Epoch 3 [2018-09-28 12:23] Train Step 0350/1000000, Batch Size = 64, Examples/Sec = 4742.76, Accuracy = 0.74, Loss = 0.870
Epoch 4 [2018-09-28 12:23] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 5682.98, Accuracy = 0.71, Loss = 0.919
Evaluating: 
Epoch 4 [2018-09-28 12:23] Train Step 0010/1000000, Batch Size = 64, Examples/Sec = 4202.91, Accuracy = 0.72, Loss = 0.918
Epoch 4 [2018-09-28 12:23] Train Step 0020/1000000, Batch Size = 64, Examples/Sec = 5477.72, Accuracy = 0.70, Loss = 0.937
Epoch 4 [2018-09-28 12:23] Train Step 0030/1000000, Batch Size = 64, Examples/Sec = 5229.81, Accuracy = 0.73, Loss = 0.872
Epoch 4 [2018-09-28 12:23] Train Step 0040/1000000, Batch Size = 64, Examples/Sec = 4509.17, Accuracy = 0.74, Loss = 0.856
Epoch 4 [2018-09-28 12:23] Train Step 0050/1000000, Batch Size = 64, Examples/Sec = 777.69, Accuracy = 0.73, Loss = 0.889
Epoch 4 [2018-09-28 12:23] Train Step 0060/1000000, Batch Size = 64, Examples/Sec = 765.53, Accuracy = 0.72, Loss = 0.871
Epoch 4 [2018-09-28 12:23] Train Step 0070/1000000, Batch Size = 64, Examples/Sec = 4101.13, Accuracy = 0.72, Loss = 0.889
Epoch 4 [2018-09-28 12:23] Train Step 0080/1000000, Batch Size = 64, Examples/Sec = 764.41, Accuracy = 0.74, Loss = 0.858
Epoch 4 [2018-09-28 12:23] Train Step 0090/1000000, Batch Size = 64, Examples/Sec = 814.12, Accuracy = 0.73, Loss = 0.875
Epoch 4 [2018-09-28 12:23] Train Step 0100/1000000, Batch Size = 64, Examples/Sec = 4651.45, Accuracy = 0.73, Loss = 0.901
Epoch 4 [2018-09-28 12:23] Train Step 0110/1000000, Batch Size = 64, Examples/Sec = 733.89, Accuracy = 0.73, Loss = 0.874
Epoch 4 [2018-09-28 12:23] Train Step 0120/1000000, Batch Size = 64, Examples/Sec = 765.96, Accuracy = 0.72, Loss = 0.876
Epoch 4 [2018-09-28 12:23] Train Step 0130/1000000, Batch Size = 64, Examples/Sec = 799.08, Accuracy = 0.72, Loss = 0.890
Epoch 4 [2018-09-28 12:23] Train Step 0140/1000000, Batch Size = 64, Examples/Sec = 757.15, Accuracy = 0.74, Loss = 0.860
Epoch 4 [2018-09-28 12:23] Train Step 0150/1000000, Batch Size = 64, Examples/Sec = 766.62, Accuracy = 0.74, Loss = 0.822
Epoch 4 [2018-09-28 12:23] Train Step 0160/1000000, Batch Size = 64, Examples/Sec = 765.34, Accuracy = 0.74, Loss = 0.848
Epoch 4 [2018-09-28 12:23] Train Step 0170/1000000, Batch Size = 64, Examples/Sec = 758.55, Accuracy = 0.75, Loss = 0.858
Epoch 4 [2018-09-28 12:23] Train Step 0180/1000000, Batch Size = 64, Examples/Sec = 5004.02, Accuracy = 0.76, Loss = 0.794
Epoch 4 [2018-09-28 12:23] Train Step 0190/1000000, Batch Size = 64, Examples/Sec = 753.05, Accuracy = 0.75, Loss = 0.823
Epoch 4 [2018-09-28 12:23] Train Step 0200/1000000, Batch Size = 64, Examples/Sec = 749.86, Accuracy = 0.75, Loss = 0.838
Evaluating: 
Epoch 4 [2018-09-28 12:23] Train Step 0210/1000000, Batch Size = 64, Examples/Sec = 5654.73, Accuracy = 0.75, Loss = 0.844
Epoch 4 [2018-09-28 12:23] Train Step 0220/1000000, Batch Size = 64, Examples/Sec = 5804.89, Accuracy = 0.74, Loss = 0.844
Epoch 4 [2018-09-28 12:23] Train Step 0230/1000000, Batch Size = 64, Examples/Sec = 4259.05, Accuracy = 0.76, Loss = 0.792
Epoch 4 [2018-09-28 12:23] Train Step 0240/1000000, Batch Size = 64, Examples/Sec = 739.06, Accuracy = 0.75, Loss = 0.821
Epoch 4 [2018-09-28 12:23] Train Step 0250/1000000, Batch Size = 64, Examples/Sec = 4308.06, Accuracy = 0.76, Loss = 0.794
Epoch 4 [2018-09-28 12:23] Train Step 0260/1000000, Batch Size = 64, Examples/Sec = 5709.33, Accuracy = 0.75, Loss = 0.802
Epoch 4 [2018-09-28 12:23] Train Step 0270/1000000, Batch Size = 64, Examples/Sec = 4297.03, Accuracy = 0.76, Loss = 0.799
Epoch 4 [2018-09-28 12:23] Train Step 0280/1000000, Batch Size = 64, Examples/Sec = 5721.01, Accuracy = 0.75, Loss = 0.831
Epoch 4 [2018-09-28 12:23] Train Step 0290/1000000, Batch Size = 64, Examples/Sec = 774.12, Accuracy = 0.76, Loss = 0.786
Epoch 4 [2018-09-28 12:23] Train Step 0300/1000000, Batch Size = 64, Examples/Sec = 4791.78, Accuracy = 0.74, Loss = 0.811
Epoch 4 [2018-09-28 12:23] Train Step 0310/1000000, Batch Size = 64, Examples/Sec = 6158.47, Accuracy = 0.75, Loss = 0.778
Epoch 4 [2018-09-28 12:23] Train Step 0320/1000000, Batch Size = 64, Examples/Sec = 6642.47, Accuracy = 0.76, Loss = 0.822
Epoch 4 [2018-09-28 12:23] Train Step 0330/1000000, Batch Size = 64, Examples/Sec = 6502.17, Accuracy = 0.75, Loss = 0.787
Epoch 4 [2018-09-28 12:23] Train Step 0340/1000000, Batch Size = 64, Examples/Sec = 6516.37, Accuracy = 0.76, Loss = 0.778
Epoch 4 [2018-09-28 12:23] Train Step 0350/1000000, Batch Size = 64, Examples/Sec = 4430.87, Accuracy = 0.75, Loss = 0.787
Epoch 5 [2018-09-28 12:23] Train Step 0000/1000000, Batch Size = 64, Examples/Sec = 735.42, Accuracy = 0.75, Loss = 0.795
Evaluating: 
Epoch 5 [2018-09-28 12:23] Train Step 0010/1000000, Batch Size = 64, Examples/Sec = 5055.09, Accuracy = 0.75, Loss = 0.819
Epoch 5 [2018-09-28 12:23] Train Step 0020/1000000, Batch Size = 64, Examples/Sec = 5224.00, Accuracy = 0.76, Loss = 0.784
Epoch 5 [2018-09-28 12:23] Train Step 0030/1000000, Batch Size = 64, Examples/Sec = 763.58, Accuracy = 0.75, Loss = 0.785
Epoch 5 [2018-09-28 12:23] Train Step 0040/1000000, Batch Size = 64, Examples/Sec = 3860.71, Accuracy = 0.77, Loss = 0.760
Epoch 5 [2018-09-28 12:23] Train Step 0050/1000000, Batch Size = 64, Examples/Sec = 6302.93, Accuracy = 0.76, Loss = 0.740
Epoch 5 [2018-09-28 12:23] Train Step 0060/1000000, Batch Size = 64, Examples/Sec = 5895.66, Accuracy = 0.76, Loss = 0.793
